5.5,9.5,6.5,550.00,190,325,adequado
5.4,9.4,6.4,540.00,188,320,adequado
5.3,9.3,6.3,530.00,186,315,adequado
5.2,9.2,6.2,520.00,184,310,adequado
5.1,9.1,6.1,510.00,182,305,adequado
5,9,6,500.00,180,300,adequado
4.9,8.9,5.9,490.00,178,295,adequado
4.8,8.8,5.8,480.00,176,290,adequado
4.7,8.7,5.7,470.00,174,285,adequado
4.6,8.6,5.6,460.00,172,280,adequado
4.5,8.5,5.5,450.00,170,275,adequado
4.4,8.4,5.4,440.00,168,270,adequado
4.3,8.3,5.3,430.00,166,265,adequado
4.2,8.2,5.2,420.00,164,260,adequado
4.1,8.1,5.1,410.00,162,255,adequado
4,8,5,400.00,160,250,adequado
3.9,7.9,4.9,390.00,158,245,adequado
3.8,7.8,4.8,380.00,156,240,adequado
3.7,7.7,4.7,370.00,154,235,adequado
3.6,7.6,4.6,360.00,152,230,adequado
3.5,7.5,4.5,350.00,150,225,adequado
3.4,7.4,4.4,340.00,148,220,adequado
3.3,7.3,4.3,330.00,146,215,adequado
3.2,7.2,4.2,320.00,144,210,adequado
3.1,7.1,4.1,310.00,142,205,adequado
3,7,4,300.00,140,200,adequado
2.9,6.9,3.9,290.00,138,195,adequado
2.8,6.8,3.8,280.00,136,190,adequado
2.7,6.7,3.7,270.00,134,185,adequado
2.6,6.6,3.6,260.00,132,180,adequado
2.5,6.5,3.5,250.00,130,175,adequado
2.4,6.4,3.4,240.00,128,170,adequado
2.3,6.3,3.3,230.00,126,165,adequado
2.2,6.2,3.2,220.00,124,160,adequado
2.1,6.1,3.1,210.00,122,155,adequado
2,6,3,200.00,120,150,adequado
1.9,5.9,2.9,190.00,118,145,adequado
1.8,5.8,2.8,180.00,116,140,adequado
1.7,5.7,2.7,170.00,114,135,adequado
1.6,5.6,2.6,160.00,112,130,adequado
1.5,5.5,2.5,150.00,110,125,adequado
1.4,5.4,2.4,140.00,108,120,adequado
1.3,5.3,2.3,130.00,106,115,adequado
1.2,5.2,2.2,120.00,104,110,adequado
1.1,5.1,2.1,110.00,102,105,adequado
1,5,2,100.00,100,100,adequado
0.9,4.9,1.9,90.00,98,95,regular
0.8,4.8,1.8,80.00,96,90,regular
0.7,4.7,1.7,70.00,94,85,regular
0.6,4.6,1.6,60.00,92,32,regular
0.5,4.5,1.5,50.00,90,30,regular
0.4,4.4,1.4,40.00,88,28,regular
0.3,4.3,1.3,30.00,86,26,inadequado
0.2,4.2,1.2,20.00,84,24,inadequado
0.1,4.1,1.1,10.00,82,22,inadequado
0,4,1,0,80,20,inadequado
0,3.9,0.9,0,78,18,inadequado
0,3.8,0.8,0,76,16,inadequado
0,3.7,0.7,0,74,14,inadequado
0,3.6,0.6,0,72,12,inadequado
0,3.5,0.5,0,70,10,inadequado
0,3.4,0.4,0,68,8,inadequado
0,3.3,0.3,0,66,6,inadequado
0,3.2,0.2,0,64,4,inadequado
0,3.1,0.1,0,62,2,inadequado
0,3,0,0,60,0,inadequado
0,2.9,0,0,58,0,inadequado
0,2.8,0,0,56,0,inadequado
0,2.7,0,0,54,0,inadequado
0,2.6,0,0,52,0,inadequado
0,2.5,0,0,50,0,inadequado
0,2.4,0,0,48,0,inadequado
0,2.3,0,0,46,0,inadequado
0,2.2,0,0,44,0,inadequado
0,2.1,0,0,42,0,inadequado
0,2,0,0,40,0,inadequado
0,1.9,0,0,38,0,inadequado
0,1.8,0,0,36,0,inadequado
0,1.7,0,0,34,0,inadequado
0,1.6,0,0,32,0,inadequado
0,1.5,0,0,30,0,inadequado
0,1.5,0.1,0,30,5,inadequado
